FirstName|LastName|FN|Phone|Email|Group|Marks|Marks|Marks|Marks
Macon|Ulysses|59291059|(0784) 72461899|pede@nonegestasa.com|1|6|3|2|6
Brennan|Halee|43560543|(039563) 689205|eget.venenatis.a@eget.net|4|5|4|2|6
Scott|Ferdinand|68890868|(0666) 93565166|sem.magna@faucibus.ca|3|2|3|2|4
Madaline|Price|59290359|(01736) 5686304|ut.quam.vel@abv.bg|3|5|6|5|6
Rae|Fay|67240567|(0892) 42948032|et@pede.ca|3|2|2|4|4
Marsden|Jin|59290559|(089) 60408212|sapien@dolorsitamet.net|3|5|6|4|2
Maggie|Cathleen|59290959|(0331) 43097072|euismod.urna@convalliserat.com|2|2|2|4|3
Kylan|Fiona|56250656|(04001) 8435147|facilisi.Sed.neque@vitae.net|1|5|5|2|6
Halla|Shea|51840651|(00859) 6249387|tempor.lorem@a.org|4|2|6|5|6
Buffy|Buffy|43561143|(009) 74966773|In.scelerisque@ametdiameu.net|4|3|6|3|4
Jaime|Sheila|54761154|(03094) 1990350|lectus.convallis.est@sitametultricies.ca|1|5|6|4|3
Brock|Jermaine|43560343|(0330) 19401085|eget.laoreet@ullamcorpermagna.edu|4|4|6|2|4
Iona|Harper|53290653|(0082) 06560906|nunc.id.enim@egetlacusMauris.co.uk|1|5|5|6|2
Xavier|Porter|77440977|(0254) 14140443|sodales.elit.erat@loremutaliquam.edu|4|4|6|2|2
Calvin|Jonah|44890544|(0594) 14127373|luctus@abv.bg|2|6|5|2|5
Kirk|Reed|56250556|(08853) 9506604|euismod.urna.Nullam@elit.ca|2|4|3|6|3
Irma|Dolan|53291053|(0888) 97438468|ullamcorper.viverra.Maecenas@vestibulumlorem.ca|4|3|4|6|5
Hunter|Emily|51840551|(0955) 89764240|gravida@nisidictumaugue.com|4|2|4|3|5
Bethany|Arden|43560343|(03991) 7741794|Proin.dolor.Nulla@adipiscing.edu|2|3|3|4|6
TaShya|Zena|70561170|(073) 31968227|amet@temporbibendumDonec.edu|1|5|6|4|3
Kessie|Cameron|56250356|(00468) 4182138|nisl.elementum@sapiencursus.com|3|3|5|6|6
Elizabeth|Damon|47610847|(0500) 44733065|sem@ettristiquepellentesque.co.uk|4|6|4|6|3
Travis|Arthur|70560570|(001) 98029388|sociis.natoque.penatibus@Aliquam.org|2|6|5|4|2
Lacota|Carissa|57760957|(036940) 893613|imperdiet.dictum@eros.edu|3|2|5|5|3
Abbot|Jeanette|42250442|(039063) 678791|in.lobortis@nulla.edu|2|5|6|6|6
Grady|Dorothy|50410850|(02) 69575865|Sed@porttitor.org|4|3|6|2|2
Roary|Ulric|67241167|(04368) 2405473|sem.elit@eros.com|2|6|6|4|6
Cassandra|Valentine|44891044|(033244) 188200|est@bibendumfermentummetus.org|4|3|5|3|5
Tamekah|Barrett|70560370|(0969) 04914035|tempus.scelerisque.lorem@auctor.edu|2|4|4|3|6
Miranda|Clinton|59290859|(031700) 326035|imperdiet@risus.org|2|3|3|2|5
Kuame|Warren|56250656|(00048) 4740046|varius.et@augueSed.net|3|5|3|4|5
Orli|Ivy|62410362|(037) 58560042|malesuada@Quisque.org|3|6|6|2|4
Sarah|Carolyn|68890868|(091) 03979125|arcu.Sed@malesuadaInteger.ca|3|6|3|2|6
Rana|Andrew|67240467|(0997) 38855714|consectetuer.adipiscing.elit@sempertellusid.co.uk|1|4|6|3|2
Dominique|Alice|46241046|(0946) 48266565|Ut.tincidunt.vehicula@hendrerit.com|2|4|3|4|3
Anne|Deborah|42250842|(062) 92037385|Aliquam.erat@nisinibh.com|2|2|5|5|2
Alika|Nadine|42250342|(089) 68939847|justo@risusDonecnibh.edu|2|4|5|5|6
Keane|Kristen|56250656|(085) 78809734|felis@consectetuer.net|3|2|6|4|4
Quynn|Graiden|65610765|(008) 11041544|fermentum.arcu@lobortisultricesVivamus.ca|1|6|3|2|3
Audrey|Dieter|42250942|(025) 70114491|arcu.Vestibulum@Donec.com|4|5|6|5|5
Lael|Yvonne|57761157|(095) 68948061|nibh.dolor@Sed.edu|4|5|5|6|4
Chaney|Price|44890844|(02) 858270|tempus.eu@liberoDonecconsectetuer.edu|3|2|3|5|6
Nicholas|Brenna|60840460|(051) 33498964|pede@tellusNunc.ca|3|3|3|2|4
Halee|Shoshana|51840851|(09970) 5469121|diam@eu.co.uk|4|6|3|3|5
Dora|Ayanna|46241046|(090) 06163141|odio@aliquetProin.ca|3|2|3|5|4
